id,popularity,vote_count,genre_ids,title,vote_average,datetime
634524,102.88799999999999,51,[37],Badland,6.5,2019-11-01
335983,101.99,9569,"[28, 878]",Venom,6.7,2018-09-28
572154,101.37,161,"[16, 35, 10749, 18, 14]",Rascal Does Not Dream of a Dreaming Girl,8.5,2019-06-15
166428,100.779,3938,"[12, 16, 10751]",How to Train Your Dragon: The Hidden World,7.8,2019-01-03
500916,99.49,132,[28],Primal,6.3,2019-12-27
662334,99.023,27,[10752],Chaco,7.1,2020-01-28
260513,98.72200000000001,9143,"[28, 12, 16, 10751]",Incredibles 2,7.6,2018-06-14
522938,98.647,2164,"[28, 18, 53]",Rambo: Last Blood,6.3,2019-09-19
198663,98.04899999999999,12563,"[28, 9648, 878, 53]",The Maze Runner,7.1,2014-09-10
561974,97.946,76,"[12, 16]",Dino King: Journey to Fire Mountain,7.8,2019-12-25
501953,97.837,18,"[35, 18]",Eternal Beauty,5.7,2020-08-21
578189,97.815,378,"[28, 53]",Black and Blue,6.7,2019-10-25
531299,97.697,46,[53],Kill Chain,6.0,2020-02-20
612706,96.324,654,"[35, 10402]",Work It,7.8,2020-08-07
614208,95.802,7,"[28, 27, 878]",Stairs,4.7,2020-02-14
565743,95.50200000000001,333,"[18, 9648, 878]",The Vast of Night,6.4,2020-05-15
402900,95.387,5562,"[28, 35, 80, 53]",Ocean's Eight,7.0,2018-06-07
489245,95.314,217,"[28, 18, 53]",The Kill Team,6.7,2019-10-17
663459,95.29299999999999,68,[16],Jungle Beat: The Movie,7.3,2020-06-26
652722,94.55799999999999,187,"[53, 10749]",In the Arms of an Assassin,8.2,2019-12-06
345940,94.40299999999999,4472,"[28, 27, 878]",The Meg,6.1,2018-08-09
505225,94.209,256,"[18, 53]",The Last Thing He Wanted,5.0,2020-02-14
315635,93.71799999999999,14932,"[28, 12, 18, 878]",Spider-Man: Homecoming,7.4,2017-07-05
547017,92.647,7,"[18, 53]",Shirley,6.7,2020-09-11
737173,92.215,5,[],Maratón After,7.0,2020-09-03
499701,90.947,1033,"[12, 35, 10751]",Dora and the Lost City of Gold,6.8,2019-08-08
431580,90.876,1189,"[12, 16, 35, 10751]",Abominable,7.6,2019-09-19
653615,90.635,49,[27],Amulet,5.7,2020-07-24
122917,89.881,10255,"[28, 12, 14]",The Hobbit: The Battle of the Five Armies,7.3,2014-12-10
284053,89.816,14670,"[28, 12, 35, 14]",Thor: Ragnarok,7.6,2017-10-25
539140,89.51,8,"[16, 878]",Cencoroll Connect,7.0,2019-06-29
281338,89.51,6306,"[18, 878, 10752]",War for the Planet of the Apes,7.1,2017-07-11
260514,89.484,3569,"[12, 16, 35, 10751]",Cars 3,6.8,2017-06-15
466622,89.387,240,"[28, 53]",The Rhythm Section,5.6,2020-01-31
698410,89.251,14,"[12, 14, 10751]",Adventures of Rufus: The Fantastic Pet,5.7,2020-05-26
481084,89.054,1119,"[16, 35, 14, 10751]",The Addams Family,6.5,2019-10-10
653598,88.505,33,"[35, 27, 53]",Spree,6.1,2020-08-14
522444,88.15,78,"[12, 27, 53]",Black Water: Abyss,5.5,2020-07-09
359724,87.944,3450,"[18, 36]",Ford v Ferrari,7.9,2019-11-13
360920,87.494,2086,"[16, 35, 14, 10751]",The Grinch,6.7,2018-11-08
560192,87.41799999999999,79,"[28, 53]",Grand Isle,6.2,2019-12-06
552095,87.321,365,"[28, 12, 16, 10751]",PAW Patrol: Mighty Pups,7.5,2019-05-17
659067,87.291,198,"[28, 53]",Earth and Blood,6.4,2020-04-17
324786,87.074,8659,"[18, 36, 10752]",Hacksaw Ridge,8.1,2016-10-07
423204,86.712,1980,"[28, 53]",Angel Has Fallen,6.4,2019-08-21
659991,86.463,56,"[35, 18]",Made in Italy,6.0,2020-08-06
484664,86.428,19,[28],Marlene,6.2,2020-01-22
135397,86.391,16043,"[28, 12, 878, 53]",Jurassic World,6.6,2015-06-06
385687,86.054,0,"[28, 53]",Fast & Furious 10,0.0,2022-04-02
141052,86.03200000000001,9642,"[28, 12, 14, 878]",Justice League,6.2,2017-11-15
106646,85.961,16069,"[80, 18, 35]",The Wolf of Wall Street,8.0,2013-12-25
617708,85.941,74,"[18, 27, 53]",La llorona,6.1,2020-01-22
366170,85.866,145,"[12, 16]",Yu-Gi-Oh!: The Dark Side of Dimensions,7.0,2016-04-23
582885,85.785,140,[18],Cuties,4.9,2020-08-19
520901,85.516,199,"[28, 27, 9648, 878]",Doom: Annihilation,4.8,2019-09-30
417466,83.66799999999999,167,"[18, 53]",Monos,6.9,2019-09-05
383498,82.65100000000001,12135,"[28, 12, 35]",Deadpool 2,7.5,2018-05-10
449924,82.617,1078,"[28, 18, 36]",Ip Man 4: The Finale,7.2,2019-12-19
560204,82.462,102,"[80, 18, 53]",Arkansas,5.5,2020-05-05
466550,82.427,26,"[28, 53]",Drive,5.8,2019-11-01
177572,82.413,12110,"[28, 12, 16, 35, 10751]",Big Hero 6,7.8,2014-10-24
480530,82.285,3327,[18],Creed II,6.9,2018-11-21
505262,81.544,435,"[28, 12, 16, 35, 14]",My Hero Academia: Two Heroes,8.0,2018-08-03
284052,81.488,15787,"[28, 12, 14, 878]",Doctor Strange,7.4,2016-10-25
297802,81.45,9344,"[28, 12, 14]",Aquaman,6.9,2018-12-07
613200,81.404,4,"[28, 12, 16, 14]",The King’s Avatar: For The Glory,8.5,2019-08-16
529149,81.25399999999999,15,"[27, 9648]",Darlin',4.4,2020-07-10
587792,80.818,536,"[35, 14, 9648, 10749]",Palm Springs,7.6,2020-07-10
382748,80.035,328,"[35, 18, 10749]",Stargirl,7.8,2020-03-10
579583,79.971,142,"[35, 18]",The King of Staten Island,6.8,2020-07-22
657561,79.882,6,"[28, 12, 16, 10751]",The Wishmas Tree,5.1,2020-02-27
661747,79.777,95,[35],Seriously Single,7.2,2020-07-31
396535,78.85300000000001,4044,"[28, 27, 53]",Train to Busan,7.7,2016-07-20
718100,78.736,16,"[16, 14, 10751]",The Swan Princess: A Royal Wedding,7.4,2020-07-20
656690,78.563,344,"[99, 18]",The Social Dilemma,7.9,2020-01-26
516052,78.482,5,[],The Legend of the Galactic Heroes: Die Neue These Seiran 1,8.0,2019-09-27
539537,78.324,1187,"[12, 14, 27, 9648]",Fantasy Island,6.2,2020-02-12
638134,78.279,53,"[12, 16, 35, 10751]",Pets United,6.1,2019-11-08
522627,77.94800000000001,1932,"[28, 35, 80]",The Gentlemen,7.7,2020-01-01
449443,77.899,1813,"[28, 53, 80]",Den of Thieves,6.6,2018-01-18
157336,77.88,23817,"[12, 18, 878]",Interstellar,8.3,2014-11-05
615466,77.86,80,[18],All Together Now,6.9,2020-08-28
511987,77.528,1766,"[18, 27, 53]",Crawl,6.3,2019-07-11
658777,77.268,117,"[18, 14]",Freaks – You're One of Us,5.5,2020-09-02
99861,77.031,16586,"[28, 12, 878]",Avengers: Age of Ultron,7.3,2015-04-22
479455,76.667,2888,"[35, 878]",Men in Black: International,6.0,2019-06-12
550231,76.542,92,"[18, 10749]",The Secret: Dare to Dream,8.1,2020-04-16
522518,76.434,683,"[12, 18, 10751]",A Dog's Journey,8.1,2019-05-03
346910,76.342,3019,"[28, 12, 35, 27, 878, 53]",The Predator,5.5,2018-09-05
425001,76.14,59,"[35, 18, 10751]",The War with Grandpa,6.1,2020-01-31
524047,76.09100000000001,99,"[28, 53]",Greenland,6.0,2020-07-29
608195,75.493,115,"[14, 27, 53, 10752]",Ghosts of War,6.2,2020-07-03
216015,75.47800000000001,8665,"[18, 53, 10749]",Fifty Shades of Grey,5.8,2015-02-11
641790,75.31,226,"[28, 53]",Trauma Center,5.8,2019-12-06
324552,75.0,8293,"[28, 80, 53]",John Wick: Chapter 2,7.2,2017-02-08
560044,74.933,510,"[16, 35, 10751]",The Willoughbys,7.2,2020-04-22
695568,74.916,9,[18],Finding Grace,6.1,2020-04-21
595172,74.801,23,"[12, 16]",The Pilgrim's Progress,7.4,2019-04-18
559957,74.442,34,"[878, 10752]",Shanghai Fortress,4.8,2019-08-09
704264,74.309,82,"[28, 12, 16]",Primal: Tales of Savagery,8.2,2019-11-21
521029,74.241,1961,"[27, 9648, 53]",Annabelle Comes Home,6.4,2019-06-26
297762,73.96300000000001,15265,"[28, 12, 14]",Wonder Woman,7.3,2017-05-30
214756,73.797,5156,[35],Ted 2,6.2,2015-06-25
400155,73.718,2629,"[16, 35, 14, 10751]",Hotel Transylvania 3: Summer Vacation,6.9,2018-06-28
