popularity,vote_count,video,poster_path,id,adult,backdrop_path,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
314.139,108,False,/sDi6wKgECUjDug2gn4uODSqZ3yC.jpg,632618,False,/cVdYaAQmd5DZNdo0KFJruz7JpUs.jpg,/cVdYaAQmd5DZNdo0KFJruz7JpUs.jpg,es,Crímenes de familia,"[80, 18, 53]",The Crimes That Bind,6.4,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever.",2020-08-20
308.197,1201,False,/kjMbDciooTbJPofVXgAoFjfX8Of.jpg,516486,False,/xXBnM6uSTk6qqCf0SRZKXcga9Ba.jpg,/xXBnM6uSTk6qqCf0SRZKXcga9Ba.jpg,en,Greyhound,"[28, 18, 10752]",Greyhound,7.5,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",2020-07-10
297.25,14958,False,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,475557,False,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,en,Joker,"[80, 18, 53]",Joker,8.2,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019-10-02
297.102,73,False,/1SGdP60ebBDDxdnWo5VulwmR44C.jpg,737802,False,/j3WCc9mc33PSgkPIy2pv2TAtxJd.jpg,/j3WCc9mc33PSgkPIy2pv2TAtxJd.jpg,es,Se busca papá,"[35, 18, 10751]",Dad Wanted,7.7,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.,2020-09-11
293.497,164,False,/aVbqhqYtlxwEGihTEhewZAgDOCX.jpg,489326,False,/dFB6Tiy3z2xRLbnEUB5ocApT5xG.jpg,/dFB6Tiy3z2xRLbnEUB5ocApT5xG.jpg,en,Mortal,"[28, 14, 53]",Mortal,6.6,A young boy must discover the origins of his extraordinary powers before he is captured by authorities hell-bent on condemning him for an accidental murder.,2020-02-28
287.333,3171,False,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,338762,False,/lP5eKh8WOcPysfELrUpGhHJGZEH.jpg,/lP5eKh8WOcPysfELrUpGhHJGZEH.jpg,en,Bloodshot,"[28, 878]",Bloodshot,6.9,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",2020-03-05
283.275,5765,False,/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,454626,False,/stmYfCUGd8Iy6kAMBr6AmWqx8Bq.jpg,/stmYfCUGd8Iy6kAMBr6AmWqx8Bq.jpg,en,Sonic the Hedgehog,"[28, 35, 878, 10751]",Sonic the Hedgehog,7.5,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",2020-02-12
276.869,3,False,/1IKhHbjDcaGTn0YLvoASGwTlzxN.jpg,709621,False,/g6PTw4nQWI5bh0iYAoFzV82ovCt.jpg,/g6PTw4nQWI5bh0iYAoFzV82ovCt.jpg,en,Tribal: Get Out Alive,"[28, 27, 53]",Tribal: Get Out Alive,3,"After retiring from active duty, former elite military operative Caitlin Ross now runs a private security firm. She, however, becomes the target when her private security firm accepts a contract from a young millionaire.",2020-07-07
264.605,797,False,/7G2VvG1lU8q758uOqU6z2Ds0qpA.jpg,499932,False,/rUeqBuNDR9zN6vZV9kpEFMtQm0E.jpg,/rUeqBuNDR9zN6vZV9kpEFMtQm0E.jpg,en,The Devil All the Time,"[80, 18, 53]",The Devil All the Time,7.4,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2020-09-11
260.967,6,False,/pXv4qbWyj6ycMaWkK2LzlizZQjf.jpg,713825,False,/tWxCVe4rQZa3BvR3tMT3t74oVTT.jpg,/tWxCVe4rQZa3BvR3tMT3t74oVTT.jpg,en,Robot Riot,"[28, 878]",Robot Riot,5.1,Unconscious soldiers are dropped into a testing site only to discover their memories have been wiped and that once docile machines are the new intelligence.,2020-06-12
256.311,3180,False,/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg,508439,False,/xFxk4vnirOtUxpOEWgA1MCRfy6J.jpg,/xFxk4vnirOtUxpOEWgA1MCRfy6J.jpg,en,Onward,"[12, 16, 35, 14, 10751]",Onward,7.9,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",2020-02-29
252.62,53,False,/AwkmMTKJBAatbeAVhTwhcU3Pyp4.jpg,738215,False,/cmZVWuXM1hpP2GKFABCUkoscKu4.jpg,/cmZVWuXM1hpP2GKFABCUkoscKu4.jpg,en,Barbie: Princess Adventure,"[16, 10402]",Barbie: Princess Adventure,7.7,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",2020-09-01
252.404,190,False,/l9ruFmHoUws4A45s8FBZuMNC6Mu.jpg,701175,False,/ggTmRBvZ6ZzgMLVCnmQCUoITVhl.jpg,/ggTmRBvZ6ZzgMLVCnmQCUoITVhl.jpg,es,El practicante,"[18, 53]",The Paramedic,6.3,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",2020-09-16
249.708,620,False,/4VlXER3FImHeFuUjBShFamhIp9M.jpg,664767,False,/9xeEGUZjgiKlI69jwIOi0hjKUIk.jpg,/9xeEGUZjgiKlI69jwIOi0hjKUIk.jpg,en,Mortal Kombat Legends: Scorpion's Revenge,"[28, 12, 16, 14]",Mortal Kombat Legends: Scorpion's Revenge,8.4,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",2020-04-12
243.916,156,False,/vFIHbiy55smzi50RmF8LQjmpGcx.jpg,703771,False,/owraiceOKtSOa3t8sp3wA9K2Ox6.jpg,/owraiceOKtSOa3t8sp3wA9K2Ox6.jpg,en,Deathstroke: Knights & Dragons - The Movie,"[28, 16]",Deathstroke: Knights & Dragons - The Movie,7,"Ten years ago, Slade Wilson-aka the super-assassin called Deathstroke-made a tragic mistake and his wife and son paid a terrible price. Now, a decade later, Wilson's family is threatened once again by the murderous Jackal and the terrorists of H.I.V.E. Can Deathstroke atone for the sins of the past-or will his family pay the ultimate price?",2020-08-04
236.462,17,False,/bAwtbmCzhFwKf2wN6QQH301ylbO.jpg,671145,False,/rq9kv233eEKnYfe8r5fi8SP5T7e.jpg,/rq9kv233eEKnYfe8r5fi8SP5T7e.jpg,en,Before the Fire,"[28, 878, 53]",Before the Fire,6.4,"Deep in the throes of a global pandemic, up and coming TV star, Ava Boone, is forced to flee the mounting chaos in Los Angeles and return to her rural hometown.  But as she struggles to acclimate to a way of life she left behind long ago, her homecoming attracts a dangerous figure from her past – threatening both her and the family that serves as her only sanctuary.",2020-03-14
236.443,3102,False,/wlfDxbGEsW58vGhFljKkcR5IxDj.jpg,545609,False,/1R6cvRtZgsYCkh8UFuWFN33xBP4.jpg,/1R6cvRtZgsYCkh8UFuWFN33xBP4.jpg,en,Extraction,"[28, 18, 53]",Extraction,7.4,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord…",2020-04-24
235.522,361,False,/hPkqY2EMqWUnFEoedukilIUieVG.jpg,531876,False,/n1RohH2VoK1CdVI2fXvcP19dSlm.jpg,/n1RohH2VoK1CdVI2fXvcP19dSlm.jpg,en,The Outpost,"[28, 18, 36, 10752]",The Outpost,6.7,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",2020-06-24
231.947,409,False,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,592350,False,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"[28, 16]",My Hero Academia: Heroes Rising,8.6,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",2019-12-20
231.342,6140,False,/pjeMs3yqRmFL3giJy4PMXWZTTPa.jpg,330457,False,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,en,Frozen II,"[12, 16, 35, 14, 10402, 10751]",Frozen II,7.3,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",2019-11-20
223.546,173,False,/6Bbq8qQWpoApLZYWFFAuZ1r2gFw.jpg,618354,False,/bazlsLkNuhy3IuhviepqvlMm2hV.jpg,/bazlsLkNuhy3IuhviepqvlMm2hV.jpg,en,Superman: Man of Tomorrow,"[28, 16, 878]",Superman: Man of Tomorrow,7.3,"It’s the dawn of a new age of heroes, and Metropolis has just met its first. But as Daily Planet intern Clark Kent – working alongside reporter Lois Lane – secretly wields his alien powers of flight, super-strength and x-ray vision in the battle for good, there’s even greater trouble on the horizon.",2020-08-23
